date	year	month	day	sample_depth	gene	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	68
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	1185
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	187
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	462
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Amoebozoa	Discosea	Discosea	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	Cryptophyta	unclassified Cryptophyta	unclassified Cryptophyta	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Fungi	Fungi	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Bivalvia	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	101
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	264
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Macoma	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	fuzzy	4
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Ophiuridea	fuzzy	42
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Peloderinae	fuzzy	9
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Pseudodiaptomidae	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Tellinidae	fuzzy	5
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Teredinidae	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Typhlocoela	fuzzy	37
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Unguiphora	fuzzy	8
15_6_24	15	6	24	CM	18s	Eukaryota	Opisthokonta	Metazoa	Veneroida	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	fuzzy	7
15_6_24	15	6	24	CM	18s	Eukaryota	Rhizaria	Cercozoa	Protaspis	fuzzy	6
15_6_24	15	6	24	CM	18s	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyta	fuzzy	5
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphia	fuzzy	4
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	17
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	10
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	fuzzy	8
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Diatoma	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	12
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytriidae	fuzzy	8
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytrium	fuzzy	4
15_6_24	15	6	24	CM	18s	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	5
15_6_24	15	6	24	CM	18s	Eukaryota	Viridiplantae	Chlorophyta	Chlorella	fuzzy	5
15_6_24	15	6	24	CM	18s	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	5
15_6_24	15	6	24	CM	18s	Eukaryota	Viridiplantae	Chlorophyta	Microthamniales	fuzzy	9
15_6_24	15	6	24	CM	18s	Eukaryota	Viridiplantae	Chlorophyta	Ulvella	fuzzy	4
15_6_24	15	6	24	CM	18s	Eukaryota	Viridiplantae	Streptophyta	Arachis	fuzzy	2
15_6_24	15	6	24	CM	18s	Eukaryota	Viridiplantae	Streptophyta	Klebsormidiales	fuzzy	9
15_6_24	15	6	24	CM	18s	Eukaryota	Viridiplantae	Streptophyta	environmental samples	fuzzy	3
15_6_24	15	6	24	CM	18s	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	2
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Apicomplexa	Piroplasmida	fuzzy	15
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Ciliophora	Choreotrichia	fuzzy	14
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	10
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Ciliophora	Strombidinopsis	fuzzy	6
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Dinophyceae	Amoebophrya	fuzzy	7
15_6_24	15	6	24	DP	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	2
