gene	sample	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
BB042214BDp18S	BB042214BDp18S	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	68
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	1185
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	187
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	462
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Amoebozoa	Discosea	Discosea	fuzzy	3
BB062415BCM18S	BB062415BCM18S	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	3
BB062415BCM18S	BB062415BCM18S	Eukaryota	Cryptophyta	unclassified Cryptophyta	unclassified Cryptophyta	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Fungi	Fungi	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Bivalvia	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	101
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	264
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Macoma	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	fuzzy	4
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Ophiuridea	fuzzy	42
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Peloderinae	fuzzy	9
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Pseudodiaptomidae	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Tellinidae	fuzzy	5
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Teredinidae	fuzzy	3
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Typhlocoela	fuzzy	37
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Unguiphora	fuzzy	8
BB062415BCM18S	BB062415BCM18S	Eukaryota	Opisthokonta	Metazoa	Veneroida	fuzzy	3
BB062415BCM18S	BB062415BCM18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	fuzzy	7
BB062415BCM18S	BB062415BCM18S	Eukaryota	Rhizaria	Cercozoa	Protaspis	fuzzy	6
BB062415BCM18S	BB062415BCM18S	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	fuzzy	2
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyta	fuzzy	5
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphia	fuzzy	4
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	17
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	10
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	fuzzy	8
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Diatoma	fuzzy	3
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	12
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytriidae	fuzzy	8
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytrium	fuzzy	4
BB062415BCM18S	BB062415BCM18S	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	5
BB062415BCM18S	BB062415BCM18S	Eukaryota	Viridiplantae	Chlorophyta	Chlorella	fuzzy	5
